"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
AZ,85085,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85086,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85087,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85117,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85118,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85119,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85120,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85121,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85122,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85123,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85127,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85128,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85130,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85131,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85132,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85137,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85138,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85139,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85140,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85141,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85142,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85143,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85144,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85145,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85147,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85172,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85173,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85178,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85190,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85191,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85193,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
